event_type,events,pct_any,pct_any_session,pct_weekly,pct_monthly,pct_darkpool,pct_prior_ar,pct_prior_or,pct_prior_rr,pct_wick_perfect,pct_close_perfect
box_high,13595,0.5447052763264405,0.3844908769864626,0.34860088365243,0.1776436823901685,0.26144560577064624,0.15361977633902296,0.21255150088287228,0.1933490288404944,,
box_low,13595,0.5731106041651336,0.39442319011183047,0.3712812960235641,0.18603282066377216,0.2722655674959517,0.15590052972336668,0.22152736904061213,0.19776339022954678,,
day_high,4589,0.48822503270824247,0.2738173097885328,0.3085315295657866,0.16463148713475795,0.22857142857142856,0.09505123174187922,0.13189448441247004,0.1458469587965991,,
day_low,4589,0.5926733536851286,0.33834750381512974,0.3844643246781584,0.18927169646750983,0.2824427480916031,0.11816001744059298,0.17331589274035317,0.183998255940702,,
false_break_high,1358,0.5228276877761414,0.3394698085419735,0.3181148748159057,0.187039764359352,0.23711340206185566,0.12076583210603829,0.16642120765832105,0.17304860088365243,0.3409350057012543,0.10148232611174458
false_break_low,1423,0.5825720309205903,0.30077301475755447,0.38791286015460297,0.1820098383696416,0.26212227687983136,0.11033028812368235,0.14546732255797612,0.16092761770906536,0.3461939520333681,0.09384775808133472
first_candle_high,13600,0.5556863322053848,0.41921011987938517,0.36304747883695254,0.17772546711784612,0.26620557722021926,0.168860778112819,0.24512760167684047,0.20041185555637273,,
first_candle_low,13600,0.5605414153302928,0.4242112230639112,0.3679793890320206,0.1792702662939532,0.26429254653815026,0.17356769875707878,0.24762815326910348,0.20085312936677208,,
session_high,27534,0.5287469108882105,0.35208197078700676,0.33646083351516476,0.17498909725250764,0.25325336241366775,0.13694498946297506,0.18752270910544291,0.18130949785626044,,
session_low,27534,0.5642898677133305,0.3653440883656711,0.36908138773729,0.1837476377380433,0.2658306070519811,0.14228617106314947,0.19780539204999636,0.18886708814766368,,
