archetype,horizon,trades,win_rate,stop_rate,timeout_rate,ambiguous_rate,total_r,avg_r
range_post_break_pullback,1h,10,0.1,0.0,0.9,0.0,8.1143437674633,0.81143437674633
cluster_rejection_fade,1h,56,0.05357142857142857,0.5892857142857143,0.35714285714285715,0.0,14.282218960775216,0.25503962429955745
wddrb_sigma_distribution,1h,262,0.08396946564885496,0.6946564885496184,0.22137404580152673,0.003816793893129771,58.806876872282025,0.2244537285201604
range_pre_break_hold,1h,5,0.2,0.8,0.0,0.2,-2.125,-0.425
range_post_break_pullback,2h,10,0.2,0.0,0.8,0.0,12.887058716847383,1.2887058716847384
wddrb_sigma_distribution,2h,262,0.10687022900763359,0.732824427480916,0.16030534351145037,0.003816793893129771,60.06163322280089,0.2292428748961866
cluster_rejection_fade,2h,56,0.05357142857142857,0.6964285714285714,0.25,0.0,9.824150622813093,0.17543126112166238
range_pre_break_hold,2h,5,0.2,0.8,0.0,0.2,-2.125,-0.425
range_post_break_pullback,4h,10,0.3,0.0,0.7,0.0,10.728183242700675,1.0728183242700675
wddrb_sigma_distribution,4h,262,0.14885496183206107,0.7404580152671756,0.11068702290076336,0.003816793893129771,92.11425081474556,0.3515811099799449
cluster_rejection_fade,4h,56,0.07142857142857142,0.7678571428571429,0.16071428571428573,0.0,10.296780626780627,0.18387108262108262
range_pre_break_hold,4h,5,0.2,0.8,0.0,0.2,-2.125,-0.425
range_post_break_pullback,session,10,0.1,0.0,0.9,0.0,9.796886108462363,0.9796886108462364
wddrb_sigma_distribution,session,262,0.14885496183206107,0.732824427480916,0.11068702290076336,0.003816793893129771,89.25263360624315,0.3406589068940578
cluster_rejection_fade,session,56,0.08928571428571429,0.6785714285714286,0.23214285714285715,0.0,14.521426933500104,0.25931119524107327
range_pre_break_hold,session,5,0.2,0.8,0.0,0.2,-2.125,-0.425
